time,open,high,low,close,volume
1578938400,8098.21,8109.71,8088,8107.93,651.90114
1578942000,8107.92,8121.84,8103.17,8111.83,918.780208
1578945600,8111.83,8160,8104.93,8156.84,1627.39869
1578949200,8155.79,8158.88,8119.66,8136,1160.64011
1578952800,8136,8141.01,8101,8116.72,1439.749076
1578956400,8116.72,8137.94,8101.76,8110.34,774.185666
1578960000,8110.34,8315,8105.54,8270,5835.200149
1578963600,8270.01,8488.11,8268.57,8431.83,10475.89223
1578967200,8431.83,8434.33,8375,8431.14,4595.756428
1578970800,8431.17,8473.18,8378,8461.84,3924.906191
1578974400,8461.83,8573,8461.83,8524,7156.863684
1578978000,8523.92,8543.29,8453.35,8477.37,3376.554427
1578981600,8477.48,8513.32,8465.29,8509.54,2639.156577
1578985200,8509.53,8542.43,8492.26,8509.99,2243.879875
1578988800,8509.85,8535.91,8500,8511.79,1846.806965
1578992400,8511.87,8561,8482,8504.73,3272.331924
1578996000,8504.73,8530,8470,8518.12,3154.394321
1578999600,8518.13,8530,8504.6,8526.87,1866.956644
1579003200,8526.87,8625.37,8480,8499.99,7628.789194
1579006800,8498.81,8588.88,8498.73,8587.4,3843.790009
1579010400,8588.86,8740,8562,8690,10112.75022
1579014000,8689.99,8760,8633,8675.48,6384.809176
1579017600,8673.18,8696.17,8520,8677.05,10224.64019
1579021200,8677.22,8811.82,8638.88,8773.35,9123.536982
1579024800,8771.1,8850,8608,8769.35,9195.533952
1579028400,8769.07,8772.8,8687.01,8767.56,2633.796186
1579032000,8765.51,8766.93,8670,8688.19,2457.558858
1579035600,8688.18,8761.49,8666.22,8734.93,1811.478869
1579039200,8735.92,8789.79,8719.11,8735.87,1875.611412
1579042800,8736,8880,8722,8810.01,4718.132279
1579046400,8814.64,8900,8701,8772.86,8982.362583
1579050000,8774.15,8803.81,8712,8777.99,4161.66072
1579053600,8778,8835,8765.3,8813.83,1933.881737
1579057200,8813.99,8817.98,8727,8727.61,2552.52965
1579060800,8727,8741.75,8570.01,8597.51,6019.922886
1579064400,8597.41,8666.91,8564,8612.29,2395.26064
1579068000,8612.01,8693.72,8600.01,8680.58,1860.770664
1579071600,8680.82,8687.96,8618.63,8627.13,2118.645407
1579075200,8626.8,8675.11,8605.03,8638.36,1803.279596
1579078800,8638.6,8782.6,8638.24,8755.04,2993.305999
